title,link,link_type,published,summary
3 dead in Haiti central bank raid as crisis deepens,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkp1h1.mp3,audio/mpeg,"Wed, 20 Mar 2024 00:28:00 +0000","<p>The country has been rocked by weeks of violence after gangs raided prisons, released thousands of inmates and forced the prime minister to resign. Also: The US Supreme Court refuses to block a law in Texas that allows the state to detain and deport suspected illegal migrants, and Google develops an Artificial Intelligence football coach to help teams improve their performance.</p>"
3 dead in Haiti central bank raid as crisis deepens,http://www.bbc.co.uk/programmes/p0hkp1kc,text/html,"Wed, 20 Mar 2024 00:28:00 +0000","<p>The country has been rocked by weeks of violence after gangs raided prisons, released thousands of inmates and forced the prime minister to resign. Also: The US Supreme Court refuses to block a law in Texas that allows the state to detain and deport suspected illegal migrants, and Google develops an Artificial Intelligence football coach to help teams improve their performance.</p>"
Hong Kong passes tough security law,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkm28h.mp3,audio/mpeg,"Tue, 19 Mar 2024 16:01:00 +0000","<p>Authorities say Article 23 is necessary for stability, but critics fear it will further erode civil liberties. Also: The US urges Israel to allow more aid into Gaza, and a world tour for 'those' ruby slippers before they are sold at auction.</p>"
Hong Kong passes tough security law,http://www.bbc.co.uk/programmes/p0hkm46r,text/html,"Tue, 19 Mar 2024 16:01:00 +0000","<p>Authorities say Article 23 is necessary for stability, but critics fear it will further erode civil liberties. Also: The US urges Israel to allow more aid into Gaza, and a world tour for 'those' ruby slippers before they are sold at auction.</p>"
Gaza: More than a million facing famine,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkgvym.mp3,audio/mpeg,"Mon, 18 Mar 2024 23:57:00 +0000","<p>The UN-backed report says famine is expected between now and May in the north of Gaza. Also: Donald Trump's lawyers say he can't raise the multi-million dollar bond he needs to appeal against a civil fraud judgement, and could robopets help reduce loneliness?</p>"
Gaza: More than a million facing famine,http://www.bbc.co.uk/programmes/p0hkgx99,text/html,"Mon, 18 Mar 2024 23:57:00 +0000","<p>The UN-backed report says famine is expected between now and May in the north of Gaza. Also: Donald Trump's lawyers say he can't raise the multi-million dollar bond he needs to appeal against a civil fraud judgement, and could robopets help reduce loneliness?</p>"
UN report: Famine 'imminent' in northern Gaza,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkdnbd.mp3,audio/mpeg,"Mon, 18 Mar 2024 15:00:00 +0000","<p>Israel has denied preventing food from getting into Gaza. Also: Israeli officials tell Palestinians to evacuate the area around al-Shifa hospital as its forces raid the facility, the latest from Haiti as an aid agency compares life in the capital to a horror film and why the pop star Ed Sheeran is singing in Punjabi.</p>"
UN report: Famine 'imminent' in northern Gaza,http://www.bbc.co.uk/programmes/p0hkdrmq,text/html,"Mon, 18 Mar 2024 15:00:00 +0000","<p>Israel has denied preventing food from getting into Gaza. Also: Israeli officials tell Palestinians to evacuate the area around al-Shifa hospital as its forces raid the facility, the latest from Haiti as an aid agency compares life in the capital to a horror film and why the pop star Ed Sheeran is singing in Punjabi.</p>"
West condemns Russian 'pseudo-election' as Putin claims landslide win,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hk8ycg.mp3,audio/mpeg,"Mon, 18 Mar 2024 00:15:00 +0000","<p>The president says his victory will allow Russia to become stronger and more effective. Also: The Israeli prime minister promises that Palestinian civilians will be able to leave Rafah before Israeli forces launch their assault on the southern Gazan city, and what's the secret to happiness?</p>"
West condemns Russian 'pseudo-election' as Putin claims landslide win,http://www.bbc.co.uk/programmes/p0hk8ypz,text/html,"Mon, 18 Mar 2024 00:15:00 +0000","<p>The president says his victory will allow Russia to become stronger and more effective. Also: The Israeli prime minister promises that Palestinian civilians will be able to leave Rafah before Israeli forces launch their assault on the southern Gazan city, and what's the secret to happiness?</p>"
