title,link,link_type,published,summary
Dissident at the Doorstep Episode 6: The Great Moving Right Show,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/0aab87a3-414c-49f0-97f4-cddbcced5828/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=0aab87a3-414c-49f0-97f4-cddbcced5828&feed=AeLYwXNc,audio/mpeg,"Sat, 10 Feb 2024 09:00:00 +0000","Almost one year after arriving in the US, the New York Post publishes a story suggesting NYU is trying to sever ties with Guangcheng. Guangcheng alleges the university is bowing to pressure from the Chinese Communist Party. Guangcheng’s hosts at NYU accuse right wing political forces of misleading him. Things get very messy. Where Guangcheng lands next sets him on a path that eventually leads to throwing his support behind Trump for reelection in 2020."
Tucker Carlson Goes to Moscow,https://crooked.com,text/html,"Wed, 7 Feb 2024 08:00:00 +0000","Tommy and Ben talk about US strikes against facilities in Iraq and Syria used by Iran-backed militia groups, White House denials that the conflict in Gaza has drawn America into a regional war, haunting statistics for children in Gaza, souring public opinion on the war, and dehumanizing commentary about the Middle East. They also discuss how Biden’s foreign policy agenda is being held up by Congress, Zelensky’s potential government and military shake-up, Tucker Carlson’s interview with Vladimir Putin, El Salvador’s election and Bukele’s rising popularity, polling in Europe that forecasts momentum for far right parties, a historic first in Northern Ireland, King Charles’ cancer diagnosis, Rishi Sunak’s insane fasting regimen, and Liz Truss’ plans to attend CPAC. Then Tommy speaks to Alex Ward, national security reporter at Politico about his new book “The Internationalists”."
Tucker Carlson Goes to Moscow,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/161335ac-e29f-4e1b-8dd6-86a52c69c724/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=161335ac-e29f-4e1b-8dd6-86a52c69c724&feed=AeLYwXNc,audio/mpeg,"Wed, 7 Feb 2024 08:00:00 +0000","Tommy and Ben talk about US strikes against facilities in Iraq and Syria used by Iran-backed militia groups, White House denials that the conflict in Gaza has drawn America into a regional war, haunting statistics for children in Gaza, souring public opinion on the war, and dehumanizing commentary about the Middle East. They also discuss how Biden’s foreign policy agenda is being held up by Congress, Zelensky’s potential government and military shake-up, Tucker Carlson’s interview with Vladimir Putin, El Salvador’s election and Bukele’s rising popularity, polling in Europe that forecasts momentum for far right parties, a historic first in Northern Ireland, King Charles’ cancer diagnosis, Rishi Sunak’s insane fasting regimen, and Liz Truss’ plans to attend CPAC. Then Tommy speaks to Alex Ward, national security reporter at Politico about his new book “The Internationalists”."
Dissident at the Doorstep Episode 5: Guangcheng’s Year of Living Famously,https://crooked.com,text/html,"Sat, 3 Feb 2024 09:00:00 +0000","Following a tense negotiation between the US and China, Guangcheng arrives in the United States. He is greeted with a hero’s welcome. He gives speeches. He wins awards. And he tries to adjust to life in New York, hosted by NYU. But quickly cracks start to emerge beneath the glamorous facade."
Dissident at the Doorstep Episode 5: Guangcheng’s Year of Living Famously,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/3e11d856-cab6-48df-86ab-858f6215c31a/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=3e11d856-cab6-48df-86ab-858f6215c31a&feed=AeLYwXNc,audio/mpeg,"Sat, 3 Feb 2024 09:00:00 +0000","Following a tense negotiation between the US and China, Guangcheng arrives in the United States. He is greeted with a hero’s welcome. He gives speeches. He wins awards. And he tries to adjust to life in New York, hosted by NYU. But quickly cracks start to emerge beneath the glamorous facade."
Will Biden Bomb Iran?,https://crooked.com,text/html,"Wed, 31 Jan 2024 08:00:00 +0000","Tommy and Ben talk about the drone strike by an Iranian-backed group on a US base in Jordan that killed three US service members, the pressure on Biden to retaliate against Iran directly, and the muddled politics of war. They also cover allegations that UN employees in Gaza participated in the October 7th Hamas attack, the International Court of Justice’s ruling about genocide charges against Israel, and Nancy Pelosi’s odd criticism of activists calling for a ceasefire. They also discuss NATO member fears about Russia, Trump floating major tariffs on China, a Kenyan court blocking the deployment of police to Haiti, and French farmers laying siege to Paris. Then, Tommy speaks with Ali Vaez, Iran Project Director at the International Crisis Group, about Iranian proxy groups, why Iran funds them, and the US conventional wisdom that Iran can only be deterred through military action."
Will Biden Bomb Iran?,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/2d176a26-0066-44e0-b350-7d28920ce8d5/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=2d176a26-0066-44e0-b350-7d28920ce8d5&feed=AeLYwXNc,audio/mpeg,"Wed, 31 Jan 2024 08:00:00 +0000","Tommy and Ben talk about the drone strike by an Iranian-backed group on a US base in Jordan that killed three US service members, the pressure on Biden to retaliate against Iran directly, and the muddled politics of war. They also cover allegations that UN employees in Gaza participated in the October 7th Hamas attack, the International Court of Justice’s ruling about genocide charges against Israel, and Nancy Pelosi’s odd criticism of activists calling for a ceasefire. They also discuss NATO member fears about Russia, Trump floating major tariffs on China, a Kenyan court blocking the deployment of police to Haiti, and French farmers laying siege to Paris. Then, Tommy speaks with Ali Vaez, Iran Project Director at the International Crisis Group, about Iranian proxy groups, why Iran funds them, and the US conventional wisdom that Iran can only be deterred through military action."
Dissident at the Doorstep Episode 4: Coming To America,https://crooked.com,text/html,"Sat, 27 Jan 2024 09:00:00 +0000","Guangcheng escapes house arrest, but he’s not free yet. Without a real plan or a place to hide, he turns to the US embassy in Beijing. His moves set in motion a diplomatic maelstrom, where top officials from the two most powerful countries in the world negotiate over his fate – and their own."
Dissident at the Doorstep Episode 4: Coming To America,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/0a6dc0dc-e61e-48a6-9a09-df5d7ed408bb/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=0a6dc0dc-e61e-48a6-9a09-df5d7ed408bb&feed=AeLYwXNc,audio/mpeg,"Sat, 27 Jan 2024 09:00:00 +0000","Guangcheng escapes house arrest, but he’s not free yet. Without a real plan or a place to hide, he turns to the US embassy in Beijing. His moves set in motion a diplomatic maelstrom, where top officials from the two most powerful countries in the world negotiate over his fate – and their own."
Netanyahu Rejects a Two-State Solution (again),https://crooked.com,text/html,"Wed, 24 Jan 2024 08:00:00 +0000","Tommy and Ben discuss the latest news out of Gaza, including a potential ceasefire deal that would include a two month stop in fighting in exchange for hostages, a look back at Bibi’s rejection of a two-state solution throughout his political career, and the news that the Biden administration is preparing for a sustained military campaign in Yemen. They also talk about the UAE funneling weapons to Sudan, mass protests in Germany against the far-right ADF party, British conservative’s continuing attempts to send asylum seekers to Rwanda, Elon Musk’s visit to Auschwitz, and an odd auction item belonging to Winston Churchill. Then Ben speaks with Ricardo Zuniga, the former US Special Envoy to the Northern Triangle and Senior Advisor at the US Institute of Peace about the spiraling gang violence in Ecuador."
