title,link,link_type,published,summary
Suspended Chords,https://www.buzzsprout.com/832021/3001861-suspended-chords.mp3,audio/mpeg,"Mon, 13 Jul 2020 04:00:00 -0400",<p>A discussion and practice for Sus4 and sus2</p>
What theory should you know?,https://www.buzzsprout.com/832021/3626245-what-theory-should-you-know.mp3,audio/mpeg,"Fri, 10 Jul 2020 04:00:00 -0400",
Time Signatures,https://www.buzzsprout.com/832021/3692638-time-signatures.mp3,audio/mpeg,"Thu, 09 Jul 2020 04:00:00 -0400",
ALL the Seven Chords,https://www.buzzsprout.com/832021/2753392-all-the-seven-chords.mp3,audio/mpeg,"Wed, 08 Jul 2020 04:00:00 -0400","<p>Today, instead of exercises, Sam discusses Dominant Seven, Major Seven, Minor Seven, Half-Diminished Seven, Fully-Diminished Seven, and Minor-Major Seven Chords.</p>"
Training your ear from Start to Finish,https://www.buzzsprout.com/832021/3640309-training-your-ear-from-start-to-finish.mp3,audio/mpeg,"Tue, 07 Jul 2020 04:00:00 -0400",
"""Thirdless"" Chords (""And We All Grow Up"" by Libby Clawson)",https://www.buzzsprout.com/832021/2876980-thirdless-chords-and-we-all-grow-up-by-libby-clawson.mp3,audio/mpeg,"Mon, 06 Jul 2020 04:00:00 -0400","<p>Every Wednesday, Sam sits and analyzes the chords of the song of the week. This week we talk about the phenomenon of &quot;thirdless&quot; chords.</p>"
"You Can Outwork Talent (""And We All Grow Up"" by Libby Clawson)",https://www.buzzsprout.com/832021/2876944-you-can-outwork-talent-and-we-all-grow-up-by-libby-clawson.mp3,audio/mpeg,"Fri, 03 Jul 2020 04:00:00 -0400","<p>Every Monday, Sam spews his opinions about playing music by ear. Today, learn why talent is useless and you can outwork anybody.</p>"
Perfect Fifths Melody Practice,https://www.buzzsprout.com/832021/2815192-perfect-fifths-melody-practice.mp3,audio/mpeg,"Thu, 02 Jul 2020 04:00:00 -0400",<p>Thursdays are melody exercises - tune in for a chance to practice melodies in the major scale using solege.</p>
The Mixolydian Scale,https://www.buzzsprout.com/832021/4371524-the-mixolydian-scale.mp3,audio/mpeg,"Wed, 01 Jul 2020 04:00:00 -0400",
The Dorian Scale,https://www.buzzsprout.com/832021/4371518-the-dorian-scale.mp3,audio/mpeg,"Tue, 30 Jun 2020 04:00:00 -0400",
The Pentatonic Scale,https://www.buzzsprout.com/832021/4362005-the-pentatonic-scale.mp3,audio/mpeg,"Mon, 29 Jun 2020 09:00:00 -0400",
"How to recognize chords as a ""dish"" instead of by its ""ingredients""",https://www.buzzsprout.com/832021/4321886-how-to-recognize-chords-as-a-dish-instead-of-by-its-ingredients.mp3,audio/mpeg,"Fri, 26 Jun 2020 04:00:00 -0400",
Minor Scale Melodies,https://www.buzzsprout.com/832021/4293794-minor-scale-melodies.mp3,audio/mpeg,"Thu, 25 Jun 2020 04:00:00 -0400",
Minor Scale Practice,https://www.buzzsprout.com/832021/4278641-minor-scale-practice.mp3,audio/mpeg,"Wed, 24 Jun 2020 04:00:00 -0400",
Melodies in Major,https://www.buzzsprout.com/832021/4278623-melodies-in-major.mp3,audio/mpeg,"Tue, 23 Jun 2020 04:00:00 -0400",
I'm back! Major scales & note names,https://www.buzzsprout.com/832021/4253093-i-m-back-major-scales-note-names.mp3,audio/mpeg,"Mon, 22 Jun 2020 04:00:00 -0400",
Don't worry about Perfect Pitch!,https://www.buzzsprout.com/832021/4190345-don-t-worry-about-perfect-pitch.mp3,audio/mpeg,"Fri, 19 Jun 2020 04:00:00 -0400",
Let's play around the minor scale!,https://www.buzzsprout.com/832021/4190306-let-s-play-around-the-minor-scale.mp3,audio/mpeg,"Wed, 17 Jun 2020 04:00:00 -0400",
Last day of Music,https://www.buzzsprout.com/832021/4125494-last-day-of-music.mp3,audio/mpeg,"Mon, 15 Jun 2020 04:00:00 -0400",
Back with you soon!,https://www.buzzsprout.com/832021/4125485-back-with-you-soon.mp3,audio/mpeg,"Fri, 12 Jun 2020 04:00:00 -0400",
Sam is moving this weekend... here's some music,https://www.buzzsprout.com/832021/4125482-sam-is-moving-this-weekend-here-s-some-music.mp3,audio/mpeg,"Thu, 11 Jun 2020 04:00:00 -0400",
From Solfege to Minor Scales,https://www.buzzsprout.com/832021/4095473-from-solfege-to-minor-scales.mp3,audio/mpeg,"Wed, 10 Jun 2020 04:00:00 -0400",
From Solfege to Major Scale,https://www.buzzsprout.com/832021/4095452-from-solfege-to-major-scale.mp3,audio/mpeg,"Tue, 09 Jun 2020 04:00:00 -0400",
An Explanation of Pandiatonicism,https://www.buzzsprout.com/832021/4036016-an-explanation-of-pandiatonicism.mp3,audio/mpeg,"Mon, 08 Jun 2020 04:00:00 -0400",
A Demonstration in Semi-Pandiotonicism,https://www.buzzsprout.com/832021/4023740-a-demonstration-in-semi-pandiotonicism.mp3,audio/mpeg,"Wed, 03 Jun 2020 04:00:00 -0400",<p>Explanation tomorrow :)</p>
Monday Music,https://www.buzzsprout.com/832021/3957065-monday-music.mp3,audio/mpeg,"Mon, 01 Jun 2020 04:00:00 -0400",
...,https://www.buzzsprout.com/832021/3957062-.mp3,audio/mpeg,"Fri, 29 May 2020 04:00:00 -0400",
"Crazy Chords for ""Row, Row, Row Your Boat""",https://www.buzzsprout.com/832021/3943652-crazy-chords-for-row-row-row-your-boat.mp3,audio/mpeg,"Thu, 28 May 2020 04:00:00 -0400",
Go Practice.,https://www.buzzsprout.com/832021/3869069-go-practice.mp3,audio/mpeg,"Fri, 22 May 2020 04:00:00 -0400",
Thirds and Sixths,https://www.buzzsprout.com/832021/3829142-thirds-and-sixths.mp3,audio/mpeg,"Thu, 21 May 2020 04:00:00 -0400",
What are you hearing? Demonstration,https://www.buzzsprout.com/832021/3829136-what-are-you-hearing-demonstration.mp3,audio/mpeg,"Wed, 20 May 2020 04:00:00 -0400",
"Find this on Spotify, too",https://www.buzzsprout.com/832021/3822698-find-this-on-spotify-too.mp3,audio/mpeg,"Tue, 19 May 2020 04:00:00 -0400",
Chord Progression Practice,https://www.buzzsprout.com/832021/3744425-chord-progression-practice.mp3,audio/mpeg,"Mon, 18 May 2020 04:00:00 -0400",
Listen to Sam trip over 7/8 and 5/4 time,https://www.buzzsprout.com/832021/3692641-listen-to-sam-trip-over-7-8-and-5-4-time.mp3,audio/mpeg,"Tue, 12 May 2020 04:00:00 -0400",
Music with Two EP Tones,https://www.buzzsprout.com/832021/3640366-music-with-two-ep-tones.mp3,audio/mpeg,"Fri, 08 May 2020 04:00:00 -0400",
Music with Two Piano Tones,https://www.buzzsprout.com/832021/3640357-music-with-two-piano-tones.mp3,audio/mpeg,"Thu, 07 May 2020 04:00:00 -0400",
Who is Sam?,https://www.buzzsprout.com/832021/3596836-who-is-sam.mp3,audio/mpeg,"Mon, 04 May 2020 04:00:00 -0400",
Minor: What are you hearing?,https://www.buzzsprout.com/832021/3557530-minor-what-are-you-hearing.mp3,audio/mpeg,"Thu, 30 Apr 2020 04:00:00 -0400",
What are you hearing?,https://www.buzzsprout.com/832021/3548140-what-are-you-hearing.mp3,audio/mpeg,"Wed, 29 Apr 2020 04:00:00 -0400",
Pretty Episode: More Music,https://www.buzzsprout.com/832021/3469819-pretty-episode-more-music.mp3,audio/mpeg,"Fri, 24 Apr 2020 04:00:00 -0400",
More Relaxing Music,https://www.buzzsprout.com/832021/3309607-more-relaxing-music.mp3,audio/mpeg,"Mon, 13 Apr 2020 04:00:00 -0400",<p>Sam needs a break - he plays some relaxing music for you instead of teaching today.</p>
Please Relax,https://www.buzzsprout.com/832021/3309583-please-relax.mp3,audio/mpeg,"Fri, 10 Apr 2020 04:00:00 -0400",<p>Sam needs a break - he plays some relaxing music for you instead of teaching today.</p>
Advanced Minor Chord Practice,https://www.buzzsprout.com/832021/3179302-advanced-minor-chord-practice.mp3,audio/mpeg,"Tue, 31 Mar 2020 04:00:00 -0400",<p><br /><br /></p>
Flat 3 - A Second Dimension,https://www.buzzsprout.com/832021/3009958-flat-3-a-second-dimension.mp3,audio/mpeg,"Tue, 17 Mar 2020 04:00:00 -0400",<p>There&apos;s a second dimension you can reach into in your chordal songwriting.</p>
"Harmony Wednesday (""Good Day"" by S2_Cool)",https://www.buzzsprout.com/832021/2975554-harmony-wednesday-good-day-by-s2_cool.mp3,audio/mpeg,"Wed, 11 Mar 2020 04:00:00 -0400","<p>Every Wednesday Sam sits and analyzes the harmony of the song of the week. This week we tackle minor 9 chords, and the ambiguity between minor 4 and major 6.<br /><br /><br /></p>"
"Melody Tuesday (""Good Day"" by S2_Cool)",https://www.buzzsprout.com/832021/2965756-melody-tuesday-good-day-by-s2_cool.mp3,audio/mpeg,"Tue, 10 Mar 2020 04:00:00 -0400",
"Melody Tuesday (""And We All Grow Up"" by Libby Clawson)",https://www.buzzsprout.com/832021/2876968-melody-tuesday-and-we-all-grow-up-by-libby-clawson.mp3,audio/mpeg,"Tue, 03 Mar 2020 00:00:00 -0500","<p>Every Tuesday, Sam sits and analyzes the melody of the song of the week.</p>"
"Four-Chord Song Practice (""I Do What I Want"" by The Penny Candies)",https://www.buzzsprout.com/832021/2815177-four-chord-song-practice-i-do-what-i-want-by-the-penny-candies.mp3,audio/mpeg,"Wed, 26 Feb 2020 00:00:00 -0500","<p>Today&apos;s a special chord day - instead of slow analysis, we get fast examples of four-chord progressions.</p>"
"Melody Tuesday (""I Do What I Want"" by The Penny Candies)",https://www.buzzsprout.com/832021/2815168-melody-tuesday-i-do-what-i-want-by-the-penny-candies.mp3,audio/mpeg,"Tue, 25 Feb 2020 00:00:00 -0500",<p>Every Tuesday Sam sits and analyzes the melody of the song of the week.</p>
